FDS Case,Wall Clock Time (s),CPU Time (s),Number of Cells,Number of Time Steps,Performance Metric (1e-6)
radiation_plane_layer_2_4.fds,12.290, 2.338E-02,400,1,0
radiation_plane_layer_2_5.fds,8.653, 1.101E+00,60000,1,18
radiation_plane_layer_3_1.fds,6.898, 1.043E-01,8000,1,0
radiation_plane_layer_3_2.fds,13.029, 6.050E-01,8000,1,0
radiation_plane_layer_3_3.fds,6.869, 1.564E-02,400,1,0
radiation_plane_layer_3_4.fds,12.314, 4.521E-02,400,1,0
radiation_plane_layer_3_5.fds,8.906, 1.138E+00,60000,1,18
radiation_plane_layer_4_1.fds,6.952, 1.448E-01,8000,1,0
radiation_plane_layer_4_2.fds,13.574, 6.294E-01,8000,1,0
radiation_plane_layer_4_3.fds,6.767, 4.826E-02,400,1,0
radiation_plane_layer_4_4.fds,13.523, 2.931E-02,400,1,0
radiation_plane_layer_4_5.fds,8.898, 1.200E+00,60000,1,20
radiation_plane_layer_5_1.fds,7.040, 8.006E-02,8000,1,0
radiation_plane_layer_5_2.fds,13.161, 5.481E-01,8000,1,0
radiation_plane_layer_5_3.fds,6.719, 9.352E-03,400,1,0
radiation_plane_layer_5_4.fds,13.462, 2.907E-02,400,1,0
radiation_plane_layer_5_5.fds,8.586, 1.446E+00,60000,1,24
radiation_plane_layer_6_1.fds,4.676, 1.218E-01,8000,1,0
radiation_plane_layer_6_2.fds,12.519, 5.525E-01,8000,1,0
radiation_plane_layer_6_3.fds,4.864, 9.241E-03,400,1,0
radiation_plane_layer_6_4.fds,11.600, 2.270E-02,400,1,0
radiation_plane_layer_6_5.fds,9.716, 1.398E+00,60000,1,23
radiation_shield.fds,122.930, 1.180E+02,1000,900,131
target_test.fds,13.277, 6.565E+00,50,13,10100
thermocouples.fds,78.883, 7.279E+01,8000,900,10
TC_heating.fds,191.651, 1.840E+02,8000,900,25
TC_view_factor.fds,157.298, 1.507E+02,8000,900,20
wall_internal_radiation.fds,6.461, 3.440E-03,60,1,0
restart_test1a.fds,111.380
57.130, 5.037E+01,8192,748,8
geom_restart_base_case.fds,415.846, 4.113E+02,1000,900,457
clocks_restart_a.fds,63.631
35.148, 2.895E+01,8000,900,4
clocks_restart_base_case.fds,77.013, 6.807E+01,8000,900,9
burke_schumann.fds,2.440, 1.157E-01,60,2,0
FED_FIC.fds,19.017, 1.202E+01,500,900,26
FED_FIC_SMIX.fds,13.674, 6.657E+00,500,900,14
FED_CO_HCN.fds,11.003, 2.456E+00,125,900,21
mass_flux_comparison.fds,1099.694, 1.091E+03,40000,900,30
methane_flame_simple.fds,50.882, 4.528E+01,2000,900,25
methane_flame_simple_2.fds,51.626, 4.500E+01,2000,900,25
methane_flame_primitive.fds,74.065, 6.720E+01,2000,900,37
methane_flame_primitive_2.fds,55.917, 5.124E+01,2000,900,28
methane_flame_lumped.fds,67.140, 6.153E+01,2000,900,34
methane_flame_lumped_fuel.fds,46.982, 4.205E+01,2000,900,23
methane_flame_lumped_ox.fds,46.876, 4.192E+01,2000,900,23
propane_flame_2reac.fds,236.075, 2.292E+02,32640,464,15
propane_flame_2reac_simple.fds,matches, 2.253E+02,0,Binary file propane_flame_2reac_simple.out matches,
multiple_reac_hrrpua.fds,14.447, 2.899E+00,1000,144,20
multiple_reac_n_simple.fds,10.039, 5.483E-01,30,10,0
